WMO_INDEX,GSOD,GHCN,MAKT
71254,712540-99999,CA003011240,Yes
71258,712580-99999,CA003024925,Yes
71260,712600-99999,CA006057591,Yes
71263,712630-99999,CA006153193,Yes
71271,712710-99999,CA003060330,Yes
71273,712730-99999,CA004064620,Yes
71279,712790-99999,CA007047914,Yes
71288,712880-99999,CA002400602,Yes
71289,712890-99999,CA003016124,Yes
71291,712910-99999,CA006041110,Yes
71298,712980-99999,CA006133362,Yes
71299,712990-99999,CA006073980,Yes
71307,713070-99999,CA006137154,Yes
71309,713090-99999,CA006075435,Yes
71311,713110-99999,CA008203702,Yes
71315,713150-99999,CA008100885,Yes
71318,713180-99999,CA003011887,Yes
71320,713200-99999,CA002402353,Yes
71321,713210-99999,CA002402592,Yes
71323,713230-99999,CA007028754,Yes
71331,713310-99999,CA004063605,Yes
71332,713320-99999,CA002300904,Yes
71347,713470-99999,CA003072525,Yes
71355,713550-99999,CA002400305,Yes
71356,713560-99999,CA002300501,Yes
71358,713580-99999,CA002400802,Yes
71361,713610-99999,CA002202402,Yes
71362,713620-99999,CA002202202,Yes
71364,713640-99999,CA002202578,Yes
71365,713650-99999,CA002202102,Yes
71371,713710-99999,CA007027320,Yes
71378,713780-99999,CA00707DBD4,Yes
71379,713790-99999,CA007065639,Yes
71397,713970-99999,CA008202000,Yes
71401,714010-99999,CA001148705,Yes
71411,714110-99999,CA008206240,Yes
71441,714410-99999,CA005021220,Yes
71446,714460-99999,CA004028060,Yes
71448,714480-99999,CA00503B1ER,Yes
71449,714490-99999,CA005022759,Yes
71454,714540-99999,CA004068559,Yes
71459,714590-99999,CA00402DAF0,Yes
71467,714670-99999,CA002503648,Yes
71470,714700-99999,CA00230N002,Yes
71471,714710-99999,CA001182285,Yes
71480,714800-99999,CA002202810,Yes
71489,714890-99999,CA004047240,Yes
71491,714910-99999,CA002201450,Yes
71493,714930-99999,CA008204402,Yes
71494,714940-99999,CA007028442,Yes
71498,714980-99999,CA003032801,Yes
71505,715050-99999,CA002100630,Yes
71508,715080-99999,CA006158355,Yes
71515,715150-99999,CA004013480,Yes
71522,715220-99999,CA007061541,Yes
71524,715240-99999,CA007014160,Yes
71527,715270-99999,CA006032125,Yes
71533,715330-99999,,Yes
71538,715380-99999,CA006139525,Yes
71550,715500-99999,CA005040681,Yes
71551,715510-99999,CA004055736,Yes
71557,715570-99999,CA001125073,Yes
71564,715640-99999,CA005021849,Yes
71570,715700-99999,CA005031201,Yes
71574,715740-99999,CA008100503,Yes
71575,715750-99999,CA002400636,Yes
71576,715760-99999,CA002403204,Yes
71581,715810-99999,CA006080192,Yes
71585,715850-99999,CA003062696,Yes
71590,715900-99999,CA008101303,Yes
71592,715920-99999,CA002400404,Yes
71600,716000-99999,CA008204700,Yes
71601,716010-99999,CA008205090,
71603,716030-99999,CA008206495,Yes
71609,716090-99999,CA008104900,Yes
71611,716110-99999,CA007024280,Yes
71620,716200-99999,,
71621,716210-99999,CA006158875,Yes
71622,716220-99999,CA006144478,Yes
71624,716240-99999,CA006158731,Yes
71627,716270-99999,CA007025250,Yes
71628,716280-99999,CA006106000,Yes
71629,716290-99999,CA002402051,Yes
71630,716300-99999,CA006115525,
71633,716330-99999,CA006119500,Yes
71642,716420-99999,CA006061361,Yes
71671,716710-99999,CA008202810,Yes
71694,716940-99999,CA006110607,Yes
71695,716950-99999,CA005052890,Yes
71696,716960-99999,CA005060608,Yes
71700,717000-99999,,Yes
71702,717020-99999,CA008300596,Yes
71705,717050-99999,CA008103200,Yes
71706,717060-99999,CA008300300,Yes
71707,717070-99999,CA008205700,Yes
71708,717080-99999,CA007016294,
71709,717090-99999,CA00705C2G9,Yes
71713,717130-99999,CA007054096,Yes
71714,717140-99999,CA00701S001,Yes
71717,717170-99999,,Yes
71718,717180-99999,CA007055120,Yes
71721,717210-99999,CA007034482,Yes
71723,717230-99999,CA007025442,Yes
71725,717250-99999,CA007098600,Yes
71726,717260-99999,CA007075800,Yes
71727,717270-99999,CA007060400,Yes
71728,717280-99999,CA007066685,Yes
71730,717300-99999,CA006068150,Yes
71731,717310-99999,CA006085700,Yes
71732,717320-99999,CA007080468,Yes
71733,717330-99999,CA006068145,Yes
71738,717380-99999,CA006059D09,Yes
71739,717390-99999,CA006078285,Yes
71741,717410-99999,CA001163842,Yes
71742,717420-99999,CA008401705,Yes
71747,717470-99999,CA006020LPQ,Yes
71748,717480-99999,CA005031042,Yes
71749,717490-99999,,Yes
71753,717530-99999,CA008204193,Yes
71774,717740-99999,CA001014820,Yes
71785,717850-99999,CA001108910,Yes
71798,717980-99999,CA001012710,Yes
71799,717990-99999,CA001018620,Yes
71800,718000-99999,CA008401000,Yes
71801,718010-99999,CA008403505,Yes
71803,718030-99999,CA008401700,Yes
71805,718050-99999,SBM00071805,Yes
71809,718090-99999,CA008401501,Yes
71811,718110-99999,CA007047910,
71813,718130-99999,CA007045401,Yes
71814,718140-99999,CA007041382,Yes
71815,718150-99999,CA008403800,Yes
71816,718160-99999,CA008501900,Yes
71818,718180-99999,CA008501100,Yes
71822,718220-99999,CA007091399,Yes
71825,718250-99999,CA008504175,Yes
71828,718280-99999,CA007117825,Yes
71829,718290-99999,CA00704S001,Yes
71831,718310-99999,CA006073975,Yes
71834,718340-99999,CA006042716,Yes
71835,718350-99999,CA006016525,Yes
71836,718360-99999,CA006075425,
71841,718410-99999,CA006040325,Yes
71842,718420-99999,CA006037775,Yes
71844,718440-99999,CA006010739,Yes
71845,718450-99999,CA006016527,Yes
71846,718460-99999,CA006014353,Yes
71848,718480-99999,CA003036500,Yes
71850,718500-99999,CA006034075,Yes
71851,718510-99999,CA005012320,Yes
71852,718520-99999,CA005023222,Yes
71854,718540-99999,CA006016970,Yes
71856,718560-99999,CA008402757,Yes
71858,718580-99999,CA005031A10,Yes
71862,718620-99999,CA004012400,Yes
71863,718630-99999,CA004016560,Yes
71864,718640-99999,CA004015320,
71866,718660-99999,CA004057120,Yes
71867,718670-99999,CA005052880,Yes
71868,718680-99999,CA004083321,Yes
71869,718690-99999,CA004056240,Yes
71870,718700-99999,CA004028040,
71872,718720-99999,CA002403833,Yes
71874,718740-99999,CA002300551,Yes
71875,718750-99999,,
71876,718760-99999,CA004045600,Yes
71877,718770-99999,CA003031092,Yes
71878,718780-99999,CA003025480,Yes
71880,718800-99999,CA001152102,Yes
71881,718810-99999,CA003062242,
71882,718820-99999,,Yes
71883,718830-99999,CA001160899,Yes
71886,718860-99999,CA004019073,Yes
71887,718870-99999,CA001163780,Yes
71888,718880-99999,CA003016841,Yes
71889,718890-99999,CA001126146,Yes
71891,718910-99999,CA001114739,Yes
71892,718920-99999,CA001108395,Yes
71893,718930-99999,CA001021830,Yes
71894,718940-99999,CA001032731,Yes
71896,718960-99999,CA001096439,Yes
71897,718970-99999,CA001065010,Yes
71898,718980-99999,CA001066483,Yes
71899,718990-99999,CA001054500,Yes
71900,719000-99999,CA008502400,Yes
71902,719020-99999,CA008502800,Yes
71905,719050-99999,,Yes
71906,719060-99999,CA007113534,Yes
71907,719070-99999,CA007103282,Yes
71909,719090-99999,CA002402590,Yes
71911,719110-99999,CA002303685,Yes
71912,719120-99999,CA005061001,Yes
71915,719150-99999,CA002301000,Yes
71916,719160-99999,CA002503886,Yes
71917,719170-99999,CA002401200,Yes
71918,719180-99999,CA002303093,Yes
71920,719200-99999,CA008200255,Yes
71922,719220-99999,CA004064150,Yes
71923,719230-99999,CA002301102,Yes
71924,719240-99999,CA002403500,Yes
71925,719250-99999,CA002400600,Yes
71926,719260-99999,CA002300500,Yes
71928,719280-99999,CA003015523,Yes
71930,719300-99999,CA003067372,Yes
71933,719330-99999,,Yes
71934,719340-99999,CA002202200,Yes
71935,719350-99999,CA002202400,Yes
71936,719360-99999,CA002204100,Yes
71938,719380-99999,CA002300902,Yes
71940,719400-99999,CA003072920,Yes
71941,719410-99999,CA007098605,Yes
71943,719430-99999,CA001183000,Yes
71945,719450-99999,CA001192940,Yes
71946,719460-99999,CA002202101,Yes
71948,719480-99999,CA002200675,Yes
71950,719500-99999,CA001077499,Yes
71951,719510-99999,CA001068130,Yes
71952,719520-99999,CA001091174,Yes
71953,719530-99999,CA002101200,
71954,719540-99999,CA005050919,Yes
71955,719550-99999,CA001067742,
71957,719570-99999,CA002202570,Yes
71959,719590-99999,CA008200827,Yes
71964,719640-99999,CA002101300,Yes
71965,719650-99999,CA002100700,Yes
71966,719660-99999,CA002100402,Yes
71967,719670-99999,CA007027470,Yes
71968,719680-99999,CA002100950,Yes
71969,,CA002100685,
71973,719730-99999,CA008401298,Yes
71989,719890-99999,CA00250M001,Yes
71999,719990-99999,CA001114619,Yes
72201,,USW00012836,Yes
72202,,USW00012839,Yes
72203,,USW00012844,Yes
72205,,USW00012815,Yes
72206,,USW00013889,Yes
72207,,USW00003822,Yes
72208,,USW00013880,Yes
72211,,USW00012842,Yes
72212,,USW00012833,Yes
72213,722130-99999,USW00013861,
72214,,USW00093805,Yes
72216,722160-99999,USW00013869,
72217,,USW00003813,Yes
72218,,USW00003820,Yes
72219,,USW00013874,Yes
72220,722200-99999,USC00080211,Yes
72221,722210-99999,,
72222,722220-99999,USW00013899,Yes
72223,,USW00013894,Yes
72225,722250-99999,USW00013829,
72226,,USW00013895,Yes
72227,722270-99999,USW00013864,
72228,,USW00013876,
72231,,USW00012916,Yes
72234,,USW00013865,Yes
72235,,USW00003940,Yes
72240,,USW00003937,Yes
72241,,USW00012917,Yes
72242,722420-99999,USW00012923,
72243,,USW00012960,Yes
72244,,USW00012918,
72248,,USW00013957,Yes
72249,,USC00413285,
72250,,USW00012919,Yes
72251,,USW00012924,Yes
72252,722520-99999,USW00012907,
72253,,USW00012921,Yes
72254,,USW00013958,Yes
72255,,USW00012912,Yes
72256,,USW00013959,Yes
72258,,USW00013960,
72259,,USW00003927,Yes
72260,722600-99999,USW00003969,
72261,,USW00022010,Yes
72262,,USW00023055,
72263,722630-99999,USW00023034,Yes
72264,722640-99999,,
72265,722650-99999,USW00023023,Yes
72266,,USW00013962,Yes
72267,,USW00023042,Yes
72268,,USW00023009,Yes
72270,,USW00023044,Yes
72271,722710-99999,USW00093045,Yes
72272,722720-99999,USW00093026,
72274,,USW00023160,Yes
72278,,USW00023183,Yes
72280,722800-99999,USW00023195,
72281,,USW00023199,
72286,722860-99999,USW00023119,
72288,722880-99999,USW00023152,
72290,,USW00023188,Yes
72291,722910-99999,USW00093116,
72292,722920-99999,USW00023191,
72293,,USW00093107,
72295,,USW00023174,Yes
72297,,USW00023129,Yes
72301,,USW00003810,
72302,723020-99999,USW00013748,Yes
72303,723030-99999,USW00013714,
72304,723040-99999,USW00093729,Yes
72306,,USW00013722,Yes
72307,,USW00013786,
72308,,USW00013737,Yes
72309,,USW00013754,
72310,,USW00013883,Yes
72311,,USW00013873,Yes
72312,,USW00003870,Yes
72314,,USW00013881,Yes
72315,,USW00003812,Yes
72316,,USW00013870,
72317,,USW00013723,Yes
72319,,USW00093807,
72320,723200-99999,USW00093801,Yes
72323,,USW00003856,Yes
72324,,USW00013882,Yes
72326,,USW00013891,Yes
72327,,USW00013897,Yes
72334,,USW00013893,Yes
72335,,USW00013877,
72340,723400-99999,USW00003952,
72344,,USW00013964,Yes
72345,,USW00013971,
72348,723480-99999,USC00238880,
72351,,USW00013966,Yes
72352,723520-99999,USW00013902,
72353,,USW00013967,Yes
72354,723540-99999,USW00013919,
72355,723550-99999,USW00013945,
72356,,USW00013968,Yes
72360,,USW00023051,Yes
72363,,USW00023047,Yes
72365,,USW00023050,Yes
72366,,USW00023007,
72370,723700-99999,USW00093167,Yes
72374,,USW00023194,Yes
72375,723750-99999,USW00003103,Yes
72378,723780-99999,USC00026180,
72381,723810-99999,USW00023114,
